step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
202,14673024,12928,0.008336231213365191,0.84375,0.84375,,,,,,,,,
203,14756544,12992,0.007102115559469569,0.84375,0.84375,,,,,,,,,
204,14822656,13056,0.00871470573568021,0.890625,0.890625,,,,,,,,,
205,14890304,13120,0.007867895151270813,0.84375,0.84375,,,,,,,,,
206,14968704,13184,0.008768973254796787,0.875,0.875,,,,,,,,,
207,15036864,13248,0.009018603498520824,0.78125,0.78125,,,,,,,,,
208,15119360,13312,0.007544586226166893,0.796875,0.796875,,,,,,,,,
209,15211072,13376,0.007688478711288826,0.875,0.875,0.007441256967825525,0.984375,0.984375,,,,,,
210,15293056,13440,0.006973918870872039,0.8125,0.8125,,,,,,,,,
211,15373504,13504,0.007669478056953781,0.84375,0.84375,,,,,,,,,
212,15422208,13568,0.011166500212927373,0.84375,0.84375,,,,,,,,,
213,15494976,13632,0.00858213908651431,0.8125,0.8125,,,,,,,,,
214,15539584,13696,0.011591870125366664,0.8125,0.8125,,,,,,,,,
215,15590336,13760,0.010365695614793273,0.828125,0.828125,,,,,,,,,
216,15672320,13824,0.008622972352897653,0.8125,0.8125,,,,,,,,,
217,15746112,13888,0.00907114281984141,0.875,0.875,0.005391200235289648,0.96875,0.96875,,,,,,
218,15807616,13952,0.010114016419569771,0.828125,0.828125,,,,,,,,,
219,15879872,14016,0.009682925232538124,0.828125,0.828125,,,,,,,,,
220,15946496,14080,0.008673153722328025,0.734375,0.734375,,,,,,,,,
221,16033600,14144,0.007351503671693646,0.921875,0.921875,,,,,,,,,
222,16119168,14208,0.00635235991099383,0.828125,0.828125,,,,,,,,,
223,16210880,14272,0.006836317896555521,0.90625,0.90625,,,,,,,,,
224,16293376,14336,0.00869969331788796,0.8125,0.8125,,,,,,,,,
225,16352320,14400,0.010210105425019864,0.875,0.875,0.006249509707017184,0.9375,0.9375,,,,,,
226,16423552,14464,0.008480531919472649,0.75,0.75,,,,,,,,,
227,16498880,14528,0.008056731851477171,0.828125,0.828125,,,,,,,,,
228,16567552,14592,0.008759919232434988,0.890625,0.890625,,,,,,,,,
229,16635200,14656,0.008943259663553799,0.734375,0.734375,,,,,,,,,
230,16712064,14720,0.009379491276212173,0.84375,0.84375,,,,,,,,,
231,16797120,14784,0.007930278748156083,0.828125,0.828125,,,,,,,,,
232,16861696,14848,0.01064107988277457,0.84375,0.84375,,,,,,,,,
