iter	Passed	Remaining
649	1864	3872
650	1867	3869
651	1870	3866
652	1873	3863
653	1876	3861
654	1879	3859
655	1882	3856
656	1884	3853
657	1887	3849
658	1890	3846
659	1893	3843
660	1896	3840
661	1898	3837
662	1901	3834
663	1904	3832
664	1907	3828
665	1910	3826
666	1913	3824
667	1916	3821
668	1919	3819
669	1922	3816
670	1925	3813
671	1928	3811
672	1931	3807
673	1934	3805
674	1936	3802
675	1939	3798
676	1942	3796
677	1945	3793
678	1948	3790
679	1951	3787
680	1954	3784
681	1956	3781
682	1959	3778
683	1962	3776
684	1965	3772
685	1968	3770
686	1970	3766
687	1973	3763
688	1976	3760
689	1979	3758
690	1982	3756
691	1985	3753
692	1988	3750
693	1991	3747
694	1994	3744
695	1997	3741
696	2000	3739
697	2003	3737
698	2006	3733
699	2009	3731
700	2012	3728
701	2014	3725
702	2017	3722
703	2020	3719
704	2023	3716
705	2026	3713
706	2028	3710
707	2031	3707
708	2035	3705
709	2037	3702
710	2040	3699
711	2043	3696
712	2046	3693
713	2049	3690
714	2051	3687
715	2054	3685
716	2057	3682
717	2060	3679
718	2063	3676
719	2066	3673
720	2069	3670
721	2072	3667
722	2074	3664
723	2077	3662
724	2080	3658
725	2083	3656
726	2086	3653
727	2089	3650
728	2092	3647
729	2095	3644
730	2098	3642
731	2100	3639
732	2103	3636
733	2106	3632
734	2109	3630
735	2112	3627
736	2115	3624
737	2118	3621
738	2121	3619
739	2124	3617
740	2127	3614
741	2130	3611
742	2133	3608
743	2136	3605
744	2138	3602
745	2141	3599
746	2144	3596
747	2147	3594
748	2149	3590
749	2152	3588
750	2155	3585
751	2158	3582
752	2161	3579
753	2164	3576
754	2167	3573
755	2169	3570
756	2172	3567
757	2175	3564
758	2178	3561
759	2181	3558
760	2184	3556
761	2186	3552
762	2189	3549
763	2192	3547
764	2195	3544
765	2198	3542
766	2201	3539
767	2204	3536
768	2207	3533
769	2209	3530
770	2212	3526
771	2215	3524
772	2218	3521
773	2221	3518
774	2224	3515
775	2227	3512
776	2229	3509
777	2232	3506
778	2235	3503
779	2238	3501
780	2241	3499
781	2244	3496
782	2247	3492
783	2250	3490
784	2253	3487
785	2256	3485
786	2259	3482
787	2262	3479
788	2266	3479
789	2269	3476
790	2272	3473
791	2275	3470
792	2278	3468
793	2281	3465
794	2284	3463
795	2287	3460
796	2290	3457
797	2293	3454
798	2296	3452
799	2299	3449
800	2302	3446
801	2305	3443
802	2308	3440
803	2311	3437
804	2313	3434
805	2316	3431
806	2319	3429
807	2322	3426
808	2325	3423
809	2328	3421
810	2331	3418
811	2334	3415
812	2337	3413
813	2340	3410
814	2343	3407
815	2346	3404
816	2349	3401
817	2352	3398
818	2355	3396
819	2357	3393
820	2360	3390
821	2363	3387
822	2366	3384
823	2369	3381
824	2372	3378
825	2374	3375
826	2377	3372
827	2380	3369
828	2383	3366
829	2386	3364
830	2389	3360
831	2392	3358
832	2394	3355
833	2397	3351
834	2400	3349
835	2403	3346
836	2406	3343
837	2409	3340
838	2411	3337
839	2414	3334
840	2417	3331
841	2420	3328
842	2423	3325
843	2426	3322
844	2429	3320
845	2431	3317
846	2434	3314
847	2437	3311
848	2440	3308
849	2443	3305
850	2445	3302
851	2449	3299
852	2452	3297
853	2454	3294
854	2457	3291
855	2460	3288
856	2463	3285
857	2466	3282
858	2469	3279
859	2471	3276
860	2474	3273
861	2477	3270
862	2480	3268
863	2482	3264
864	2485	3261
865	2488	3258
866	2491	3255
867	2494	3253
868	2497	3250
869	2499	3247
870	2502	3244
871	2505	3241
872	2508	3238
873	2511	3235
874	2514	3232
875	2517	3229
876	2520	3227
877	2523	3224
878	2525	3221
879	2528	3218
880	2531	3215
881	2534	3212
882	2537	3209
883	2540	3206
884	2543	3204
885	2546	3201
886	2549	3198
887	2551	3195
888	2554	3192
889	2557	3189
890	2560	3186
891	2563	3184
892	2566	3181
893	2569	3178
894	2571	3175
895	2574	3172
896	2577	3169
897	2580	3166
898	2583	3164
899	2586	3161
900	2589	3158
901	2592	3155
902	2594	3152
903	2597	3149
904	2600	3146
905	2603	3144
906	2606	3141
907	2609	3138
908	2612	3135
