iter	Passed	Remaining
1078	3770	3218
1079	3774	3215
1080	3777	3211
1081	3781	3207
1082	3784	3204
1083	3787	3200
1084	3791	3197
1085	3794	3193
1086	3797	3189
1087	3800	3186
1088	3804	3182
1089	3808	3179
1090	3811	3175
1091	3815	3172
1092	3818	3168
1093	3822	3165
1094	3825	3161
1095	3829	3158
1096	3832	3154
1097	3836	3151
1098	3839	3147
1099	3842	3144
1100	3846	3140
1101	3850	3137
1102	3853	3134
1103	3857	3130
1104	3860	3127
1105	3864	3123
1106	3867	3120
1107	3871	3116
1108	3874	3113
1109	3878	3109
1110	3881	3106
1111	3885	3102
1112	3888	3099
1113	3892	3095
1114	3895	3092
1115	3899	3088
1116	3902	3085
1117	3905	3081
1118	3909	3078
1119	3913	3074
1120	3916	3071
1121	3920	3067
1122	3924	3064
1123	3927	3061
1124	3930	3057
1125	3934	3053
1126	3938	3050
1127	3941	3047
1128	3945	3043
1129	3948	3040
1130	3952	3036
1131	3956	3033
1132	3959	3030
1133	3963	3026
1134	3966	3022
1135	3969	3019
1136	3973	3015
1137	3976	3012
1138	3980	3008
1139	3983	3005
1140	3987	3002
1141	3991	2998
1142	3994	2994
1143	3998	2991
1144	4001	2988
1145	4005	2984
1146	4008	2980
1147	4011	2977
1148	4014	2973
1149	4018	2970
1150	4022	2966
1151	4025	2963
1152	4029	2959
1153	4032	2956
1154	4035	2952
1155	4039	2949
1156	4042	2945
1157	4045	2941
1158	4048	2938
1159	4052	2934
1160	4056	2931
1161	4060	2928
1162	4063	2924
1163	4066	2920
1164	4070	2917
1165	4073	2913
1166	4077	2910
1167	4080	2906
1168	4084	2903
1169	4087	2899
1170	4091	2896
1171	4095	2893
1172	4098	2889
1173	4102	2886
1174	4105	2882
1175	4109	2879
1176	4112	2875
1177	4116	2872
1178	4119	2868
1179	4122	2865
1180	4126	2861
1181	4129	2858
1182	4133	2854
1183	4136	2850
1184	4140	2847
1185	4143	2844
1186	4147	2840
1187	4150	2837
1188	4154	2833
1189	4158	2830
1190	4161	2826
1191	4165	2823
1192	4168	2819
1193	4172	2816
1194	4176	2813
1195	4179	2809
1196	4182	2805
1197	4186	2802
1198	4189	2798
1199	4192	2795
1200	4196	2791
1201	4199	2788
1202	4203	2784
1203	4206	2781
1204	4210	2777
1205	4213	2774
1206	4217	2770
1207	4221	2767
1208	4224	2763
1209	4228	2760
1210	4231	2757
1211	4235	2753
1212	4238	2749
1213	4242	2746
1214	4246	2743
1215	4249	2739
1216	4253	2736
1217	4256	2732
1218	4260	2729
1219	4263	2725
1220	4266	2722
1221	4270	2718
1222	4273	2715
1223	4277	2711
1224	4280	2708
1225	4284	2704
1226	4287	2701
1227	4291	2697
1228	4294	2694
1229	4298	2690
1230	4301	2687
1231	4304	2683
1232	4308	2679
1233	4311	2676
1234	4315	2672
1235	4318	2669
1236	4321	2665
1237	4325	2662
1238	4329	2659
1239	4332	2655
1240	4336	2652
1241	4339	2648
1242	4343	2645
1243	4347	2641
1244	4350	2638
1245	4353	2634
1246	4357	2631
1247	4360	2627
1248	4364	2624
1249	4367	2620
1250	4371	2617
1251	4374	2613
1252	4378	2610
1253	4382	2606
1254	4385	2603
1255	4389	2599
1256	4392	2596
1257	4396	2592
1258	4399	2589
1259	4402	2585
1260	4406	2582
1261	4410	2578
1262	4413	2575
1263	4417	2572
1264	4420	2568
1265	4424	2565
1266	4427	2561
1267	4431	2558
1268	4434	2554
1269	4438	2551
1270	4441	2547
1271	4445	2544
1272	4448	2540
1273	4452	2537
1274	4455	2533
1275	4459	2530
1276	4462	2526
1277	4466	2523
1278	4469	2519
1279	4473	2516
1280	4476	2512
1281	4479	2508
1282	4483	2505
1283	4487	2502
1284	4490	2498
1285	4493	2494
1286	4497	2491
1287	4500	2488
1288	4504	2484
1289	4507	2481
1290	4511	2477
1291	4515	2474
1292	4518	2470
1293	4522	2467
1294	4525	2463
1295	4529	2460
1296	4532	2456
1297	4536	2453
1298	4539	2449
1299	4542	2446
1300	4546	2442
1301	4549	2439
1302	4553	2435
1303	4557	2432
1304	4560	2428
1305	4563	2425
1306	4567	2421
1307	4570	2418
1308	4573	2414
1309	4577	2410
1310	4580	2407
1311	4583	2403
1312	4587	2400
1313	4590	2396
1314	4594	2393
1315	4597	2389
1316	4601	2386
1317	4604	2382
1318	4608	2379
1319	4611	2375
1320	4615	2372
1321	4618	2368
1322	4622	2365
1323	4625	2361
1324	4628	2358
1325	4632	2354
1326	4636	2351
1327	4639	2347
1328	4643	2344
1329	4646	2340
1330	4649	2337
1331	4653	2333
1332	4656	2329
1333	4659	2326
1334	4663	2322
1335	4666	2319
1336	4670	2315
1337	4673	2312
1338	4676	2308
1339	4680	2305
1340	4683	2301
1341	4687	2298
1342	4691	2295
1343	4695	2291
1344	4698	2288
1345	4702	2284
1346	4705	2281
1347	4708	2277
1348	4711	2273
1349	4715	2270
1350	4719	2266
1351	4722	2263
1352	4725	2259
1353	4729	2256
1354	4732	2252
1355	4736	2249
1356	4739	2245
1357	4743	2242
1358	4746	2238
1359	4750	2235
1360	4753	2231
1361	4757	2228
1362	4760	2225
1363	4764	2221
1364	4767	2217
1365	4771	2214
1366	4774	2210
1367	4778	2207
1368	4781	2203
1369	4785	2200
1370	4788	2196
1371	4791	2193
1372	4795	2190
1373	4799	2186
1374	4802	2183
1375	4806	2179
1376	4809	2176
1377	4813	2172
1378	4817	2169
1379	4820	2165
1380	4823	2162
1381	4827	2158
1382	4830	2155
1383	4833	2151
1384	4837	2148
1385	4840	2144
1386	4844	2141
1387	4847	2137
1388	4850	2133
1389	4854	2130
1390	4858	2126
1391	4861	2123
1392	4865	2120
1393	4868	2116
1394	4872	2113
1395	4875	2109
1396	4879	2106
1397	4882	2102
1398	4886	2099
1399	4889	2095
1400	4893	2092
1401	4896	2088
1402	4900	2085
1403	4903	2081
1404	4907	2078
1405	4910	2074
1406	4914	2071
1407	4917	2067
1408	4921	2064
1409	4925	2060
1410	4928	2057
1411	4931	2053
1412	4935	2050
1413	4938	2046
1414	4942	2043
1415	4945	2039
1416	4949	2036
1417	4953	2032
1418	4956	2029
1419	4959	2025
1420	4963	2022
1421	4966	2018
1422	4970	2015
1423	4973	2011
1424	4976	2008
1425	4980	2004
1426	4983	2001
1427	4986	1997
1428	4990	1994
1429	4994	1990
1430	4997	1987
1431	5001	1983
1432	5004	1980
1433	5008	1976
1434	5011	1973
1435	5015	1969
1436	5018	1966
1437	5022	1962
1438	5025	1959
1439	5029	1955
1440	5032	1952
1441	5036	1948
1442	5040	1945
1443	5043	1941
1444	5046	1938
1445	5050	1935
1446	5054	1931
1447	5057	1928
1448	5061	1924
1449	5065	1921
1450	5068	1917
1451	5071	1914
1452	5075	1910
1453	5078	1907
1454	5082	1903
1455	5085	1900
1456	5089	1896
1457	5092	1893
1458	5095	1889
1459	5099	1886
1460	5103	1882
1461	5106	1879
1462	5110	1875
1463	5113	1872
1464	5117	1868
1465	5121	1865
1466	5124	1861
1467	5128	1858
1468	5131	1854
1469	5134	1851
1470	5138	1848
1471	5142	1844
1472	5146	1841
1473	5149	1837
1474	5153	1834
1475	5156	1830
1476	5160	1827
1477	5163	1823
1478	5167	1820
1479	5170	1816
1480	5174	1813
1481	5178	1809
1482	5181	1806
1483	5185	1802
1484	5188	1799
1485	5192	1796
1486	5196	1792
1487	5199	1789
1488	5202	1785
1489	5206	1782
1490	5209	1778
1491	5213	1774
1492	5216	1771
1493	5220	1767
1494	5223	1764
1495	5226	1760
1496	5230	1757
1497	5233	1753
1498	5237	1750
1499	5240	1746
1500	5244	1743
1501	5247	1739
1502	5251	1736
1503	5254	1733
1504	5258	1729
1505	5261	1725
1506	5265	1722
1507	5268	1718
1508	5272	1715
1509	5276	1712
1510	5279	1708
1511	5283	1705
1512	5287	1701
1513	5291	1698
1514	5294	1694
1515	5298	1691
1516	5301	1687
1517	5304	1684
1518	5308	1680
1519	5311	1677
1520	5315	1673
1521	5318	1670
1522	5321	1666
1523	5325	1663
1524	5329	1659
1525	5332	1656
1526	5336	1653
1527	5340	1649
1528	5343	1646
1529	5346	1642
1530	5350	1639
1531	5354	1635
1532	5357	1632
1533	5361	1628
1534	5365	1625
1535	5368	1621
1536	5372	1618
1537	5375	1614
1538	5379	1611
1539	5382	1607
1540	5386	1604
1541	5389	1600
1542	5393	1597
1543	5397	1593
1544	5400	1590
1545	5403	1586
1546	5407	1583
1547	5410	1579
1548	5414	1576
1549	5417	1572
1550	5420	1569
1551	5424	1565
1552	5428	1562
1553	5431	1558
1554	5435	1555
1555	5438	1551
1556	5442	1548
1557	5446	1545
1558	5449	1541
1559	5453	1538
1560	5456	1534
1561	5460	1531
1562	5463	1527
1563	5467	1524
1564	5470	1520
1565	5474	1517
1566	5477	1513
1567	5481	1510
1568	5484	1506
1569	5488	1503
1570	5492	1499
1571	5495	1496
1572	5498	1492
1573	5502	1489
1574	5505	1485
1575	5509	1482
1576	5513	1478
1577	5516	1475
1578	5520	1471
1579	5523	1468
1580	5527	1464
1581	5530	1461
1582	5533	1457
1583	5537	1454
1584	5541	1450
1585	5544	1447
1586	5548	1443
1587	5552	1440
1588	5556	1437
1589	5559	1433
1590	5563	1430
1591	5566	1426
1592	5570	1423
1593	5573	1419
1594	5577	1416
1595	5580	1412
1596	5584	1409
1597	5587	1405
1598	5591	1402
1599	5595	1398
1600	5598	1395
1601	5602	1391
1602	5605	1388
1603	5609	1384
1604	5612	1381
1605	5616	1377
1606	5619	1374
1607	5623	1370
1608	5626	1367
1609	5630	1363
1610	5633	1360
1611	5636	1356
1612	5640	1353
1613	5644	1349
1614	5647	1346
1615	5651	1342
1616	5654	1339
1617	5658	1335
1618	5661	1332
1619	5665	1328
1620	5669	1325
1621	5672	1321
1622	5676	1318
1623	5679	1315
1624	5682	1311
1625	5686	1307
1626	5689	1304
1627	5692	1300
1628	5696	1297
1629	5699	1293
1630	5703	1290
1631	5707	1286
1632	5710	1283
1633	5714	1279
1634	5718	1276
1635	5721	1272
1636	5724	1269
1637	5728	1265
1638	5731	1262
1639	5735	1258
1640	5739	1255
1641	5742	1252
1642	5746	1248
1643	5749	1245
1644	5753	1241
1645	5756	1238
1646	5759	1234
1647	5763	1231
1648	5767	1227
1649	5770	1224
1650	5774	1220
1651	5778	1217
1652	5781	1213
1653	5785	1210
1654	5788	1206
1655	5791	1203
1656	5795	1199
1657	5799	1196
1658	5802	1192
1659	5806	1189
1660	5809	1185
1661	5813	1182
1662	5816	1178
1663	5820	1175
1664	5823	1171
1665	5827	1168
1666	5830	1164
1667	5834	1161
1668	5837	1157
1669	5841	1154
1670	5845	1150
1671	5848	1147
1672	5851	1143
1673	5855	1140
1674	5859	1136
1675	5862	1133
1676	5866	1129
1677	5869	1126
1678	5873	1122
1679	5876	1119
1680	5879	1115
1681	5883	1112
1682	5886	1108
1683	5890	1105
1684	5894	1102
1685	5898	1098
1686	5901	1095
1687	5905	1091
1688	5908	1087
